country,year,throughput,lpi_score,storm_count
Comoros,2019,375,3.46,6
Comoros,2020,500,3.39,6
Comoros,2021,397,3.59,6
Comoros,2022,414,3.13,4
Comoros,2023,421,3.14,5
Cabo Verde,2019,620,4.13,7
Cabo Verde,2020,629,4.41,6
Cabo Verde,2021,785,4.32,5
Cabo Verde,2022,775,4.23,2
Cabo Verde,2023,762,4.43,6
Costa Rica,2019,363,3.99,5
Costa Rica,2020,472,4.17,7
Costa Rica,2021,332,3.85,3
Costa Rica,2022,428,4.29,4
Costa Rica,2023,490,3.84,4
Cuba,2019,457,4.18,7
Cuba,2020,323,4.08,5
Cuba,2021,460,4.25,3
Cuba,2022,333,4.32,3
Cuba,2023,470,4.23,5
Curaçao,2019,681,2.5,0
Curaçao,2020,600,2.45,2
Curaçao,2021,608,2.24,5
Curaçao,2022,642,2.54,6
Curaçao,2023,598,2.27,6
Christmas Island,2019,732,4.19,8
Christmas Island,2020,719,4.37,5
Christmas Island,2021,710,3.98,6
Christmas Island,2022,703,4.31,3
Christmas Island,2023,645,4.15,2
Cayman Islands,2019,892,4.64,8
Cayman Islands,2020,884,4.55,5
Cayman Islands,2021,764,4.45,4
Cayman Islands,2022,878,4.72,4
Cayman Islands,2023,835,4.65,3
Cyprus,2019,138,2.38,2
Cyprus,2020,68,2.8,4
Cyprus,2021,47,2.77,2
Cyprus,2022,97,2.77,3
Cyprus,2023,117,2.57,5
Czechia,2019,940,3.03,2
Czechia,2020,943,3.34,7
Czechia,2021,930,3.43,5
Czechia,2022,807,3.05,8
Czechia,2023,852,3.06,2
Germany,2019,960,4.3,6
Germany,2020,892,4.69,8
Germany,2021,934,4.57,6
Germany,2022,836,4.45,7
Germany,2023,828,4.75,3
Djibouti,2019,200,2.63,5
Djibouti,2020,88,2.84,4
Djibouti,2021,148,2.97,2
Djibouti,2022,145,2.99,7
Djibouti,2023,90,2.85,4
Dominica,2019,339,2.78,5
Dominica,2020,293,3.15,4
Dominica,2021,231,2.92,8
Dominica,2022,310,3.15,5
Dominica,2023,213,2.71,5
Denmark,2019,891,3.58,6
Denmark,2020,774,3.78,4
Denmark,2021,816,3.72,2
Denmark,2022,910,3.95,10
Denmark,2023,808,3.61,5
Dominican Republic,2019,183,3.33,4
Dominican Republic,2020,107,3.18,6
Dominican Republic,2021,263,3.25,4
Dominican Republic,2022,157,3.12,7
Dominican Republic,2023,175,3.47,5
Algeria,2019,826,3.26,3
Algeria,2020,635,3.24,7
Algeria,2021,813,3.48,3
Algeria,2022,770,3.25,3
Algeria,2023,774,3.44,3
Ecuador,2019,88,2.54,6
Ecuador,2020,32,2.35,3
Ecuador,2021,10,2.52,4
Ecuador,2022,132,2.13,2
Ecuador,2023,130,2.53,3
Egypt,2019,126,3.22,6
Egypt,2020,226,3.27,7
Egypt,2021,217,3.42,10
Egypt,2022,189,3.25,3
Egypt,2023,212,3.15,2
Eritrea,2019,321,3.39,4
Eritrea,2020,318,3.52,4
Eritrea,2021,474,3.75,4
Eritrea,2022,472,3.6,7
Eritrea,2023,366,3.66,6
Western Sahara,2019,697,2.9,4
Western Sahara,2020,727,2.85,3
Western Sahara,2021,676,2.79,11
Western Sahara,2022,644,3.08,4
Western Sahara,2023,538,2.84,4
Spain,2019,736,3.82,5
Spain,2020,652,3.52,3
Spain,2021,688,3.82,6
Spain,2022,659,3.88,2
Spain,2023,700,3.78,4
Estonia,2019,518,4.07,2
Estonia,2020,561,4.31,3
Estonia,2021,577,4.12,4
Estonia,2022,568,4.26,8
Estonia,2023,557,4.36,4
Ethiopia,2019,109,2.79,4
Ethiopia,2020,35,2.41,6
Ethiopia,2021,40,2.51,7
Ethiopia,2022,125,2.65,3
Ethiopia,2023,163,2.34,5
Finland,2019,716,2.85,9
Finland,2020,586,2.36,11
Finland,2021,671,2.66,5
Finland,2022,639,2.76,3
Finland,2023,666,2.79,6
Fiji,2019,523,4.71,4
Fiji,2020,582,4.2,3
Fiji,2021,620,4.41,4
Fiji,2022,655,4.76,5
Fiji,2023,570,4.39,3
Falkland Islands (Malvinas),2019,340,3.93,7
Falkland Islands (Malvinas),2020,415,3.58,3
Falkland Islands (Malvinas),2021,398,3.49,2
Falkland Islands (Malvinas),2022,412,3.93,5
Falkland Islands (Malvinas),2023,302,3.55,5
France,2019,372,3.48,2
France,2020,431,3.28,5
France,2021,348,3.31,3
France,2022,407,3.66,6
France,2023,375,3.55,4
Faroe Islands,2019,281,2.57,1
Faroe Islands,2020,195,2.18,4
Faroe Islands,2021,316,2.33,6
Faroe Islands,2022,159,2.54,3
Faroe Islands,2023,129,2.28,6
"Micronesia, Federated States of",2019,684,3.61,5
"Micronesia, Federated States of",2020,642,3.21,5
"Micronesia, Federated States of",2021,630,3.47,6
"Micronesia, Federated States of",2022,631,3.51,6
"Micronesia, Federated States of",2023,614,3.11,0
Gabon,2019,1029,3.42,4
Gabon,2020,945,3.55,1
Gabon,2021,998,3.7,7
Gabon,2022,951,3.5,8
Gabon,2023,994,3.3,5
United Kingdom,2019,121,3.9,5
United Kingdom,2020,230,3.99,6
United Kingdom,2021,167,3.92,9
United Kingdom,2022,250,3.64,5
United Kingdom,2023,119,3.8,5
Georgia,2019,733,3.34,6
Georgia,2020,711,3.18,5
Georgia,2021,771,3.32,6
Georgia,2022,587,3.09,8
Georgia,2023,752,2.77,9
Guernsey,2019,952,2.35,2
Guernsey,2020,936,2.24,5
Guernsey,2021,976,2.29,6
Guernsey,2022,905,2.05,5
Guernsey,2023,934,2.31,1
Ghana,2019,195,2.93,11
Ghana,2020,177,2.64,3
Ghana,2021,158,2.99,7
Ghana,2022,154,2.6,4
Ghana,2023,159,2.94,7
Gibraltar,2019,1069,2.1,5
Gibraltar,2020,1005,2.22,5
Gibraltar,2021,962,2.22,4
Gibraltar,2022,921,2.41,1
Gibraltar,2023,1087,1.94,3
Guinea,2019,902,3.39,2
Guinea,2020,920,3.54,6
Guinea,2021,770,3.23,10
Guinea,2022,834,3.15,3
Guinea,2023,891,3.42,4
Guadeloupe,2019,803,2.67,5
Guadeloupe,2020,674,3.2,5
Guadeloupe,2021,761,2.82,4
Guadeloupe,2022,790,3.15,4
Guadeloupe,2023,754,3.16,8
Gambia,2019,1000,3.93,7
Gambia,2020,961,3.74,9
Gambia,2021,840,3.62,3
Gambia,2022,900,3.8,6
Gambia,2023,981,4.08,3
Guinea-Bissau,2019,856,4.09,5
Guinea-Bissau,2020,1005,3.84,6
Guinea-Bissau,2021,942,4.11,4
Guinea-Bissau,2022,985,4,3
Guinea-Bissau,2023,862,4,4
Equatorial Guinea,2019,657,3.68,6
Equatorial Guinea,2020,615,3.51,4
Equatorial Guinea,2021,678,3.57,4
Equatorial Guinea,2022,594,3.61,1
Equatorial Guinea,2023,512,3.33,9
Greece,2019,902,4.1,4
Greece,2020,764,4.09,4
Greece,2021,840,3.84,6
Greece,2022,841,4.01,4
Greece,2023,808,3.79,5
Grenada,2019,668,4.08,7
Grenada,2020,720,4.29,6
Grenada,2021,574,4.24,5
Grenada,2022,728,4.3,6
Grenada,2023,710,3.99,2
Greenland,2019,503,2.65,10
Greenland,2020,515,2.47,3
Greenland,2021,518,2.4,3
Greenland,2022,482,2.8,6
Greenland,2023,459,2.62,6
Guatemala,2019,939,3.13,4
Guatemala,2020,907,3.09,4
Guatemala,2021,949,2.93,6
Guatemala,2022,1011,3.19,3
Guatemala,2023,917,2.9,3
French Guiana,2019,444,4.31,10
French Guiana,2020,286,4.51,3
French Guiana,2021,381,4.48,6
French Guiana,2022,456,4.67,12
French Guiana,2023,300,4.52,5
Guam,2019,128,4.04,6
Guam,2020,134,4,3
Guam,2021,73,4.17,5
Guam,2022,208,4.14,4
Guam,2023,45,4.02,3
Guyana,2019,174,3.62,5
Guyana,2020,229,3.76,9
Guyana,2021,233,3.57,6
Guyana,2022,238,3.87,5
Guyana,2023,327,3.42,6
Hong Kong,2019,926,4.23,9
Hong Kong,2020,761,4.02,7
Hong Kong,2021,912,4.18,4
Hong Kong,2022,839,4.3,5
Hong Kong,2023,738,4.06,1
Heard Island and McDonald Islands,2019,157,3.59,3
Heard Island and McDonald Islands,2020,192,3.4,3
Heard Island and McDonald Islands,2021,235,3.66,3
Heard Island and McDonald Islands,2022,184,3.71,7
Heard Island and McDonald Islands,2023,309,3.31,2
Honduras,2019,368,3.45,3
Honduras,2020,332,3.67,3
Honduras,2021,311,3.62,6
Honduras,2022,396,3.51,0
Honduras,2023,309,3.96,6
Croatia,2019,232,3.11,2
Croatia,2020,189,2.96,7
Croatia,2021,245,2.76,7
Croatia,2022,221,3.09,2
Croatia,2023,223,2.84,8
Haiti,2019,690,2.5,2
Haiti,2020,745,2.08,5
Haiti,2021,722,2.27,3
Haiti,2022,702,2.12,6
Haiti,2023,683,2.36,2
Hungary,2019,514,2.24,6
Hungary,2020,616,1.88,6
Hungary,2021,464,1.83,3
Hungary,2022,581,2.38,4
Hungary,2023,502,1.93,3
Indonesia,2019,918,4.2,3
Indonesia,2020,891,4.23,3
Indonesia,2021,942,4.67,6
Indonesia,2022,861,4.62,2
Indonesia,2023,823,4.33,2
Isle of Man,2019,462,2.13,5
Isle of Man,2020,477,1.97,5
Isle of Man,2021,372,2.1,1
Isle of Man,2022,515,2.12,5
Isle of Man,2023,442,2.09,5
India,2019,810,3.4,6
India,2020,909,3.32,2
India,2021,936,3.15,6
India,2022,890,3.18,5
India,2023,868,3.23,8
British Indian Ocean Territory,2019,170,3.49,7
British Indian Ocean Territory,2020,93,3.51,5
British Indian Ocean Territory,2021,104,3.52,7
British Indian Ocean Territory,2022,85,3.49,5
British Indian Ocean Territory,2023,198,3.25,4
Ireland,2019,321,3.19,4
Ireland,2020,396,3.26,4
Ireland,2021,462,3.32,8
Ireland,2022,311,3.39,3
Ireland,2023,406,2.88,7
"Iran, Islamic Republic of",2019,1042,3.24,6
"Iran, Islamic Republic of",2020,972,3.1,9
"Iran, Islamic Republic of",2021,1057,3.55,2
"Iran, Islamic Republic of",2022,1025,3.5,6
"Iran, Islamic Republic of",2023,940,3.21,6
Iraq,2019,340,3.02,1
Iraq,2020,357,2.71,3
Iraq,2021,324,2.76,4
Iraq,2022,420,3.13,9
Iraq,2023,328,3.11,1
Iceland,2019,642,3.6,9
Iceland,2020,637,3.69,4
Iceland,2021,743,3.82,5
Iceland,2022,744,3.62,5
Iceland,2023,566,3.92,6
Israel,2019,454,3.07,6
Israel,2020,458,2.83,4
Israel,2021,338,2.6,3
Israel,2022,511,2.95,8
Israel,2023,326,2.92,5
Italy,2019,309,3.86,6
Italy,2020,197,4.19,2
Italy,2021,214,4.26,7
Italy,2022,221,3.78,5
Italy,2023,344,3.92,4
Jamaica,2019,692,3.67,3
Jamaica,2020,565,3.76,7
Jamaica,2021,655,3.68,3
Jamaica,2022,592,3.47,3
Jamaica,2023,681,3.63,2
Jersey,2019,732,3.67,9
Jersey,2020,654,3.89,4
Jersey,2021,713,3.7,2
Jersey,2022,727,3.49,5
Jersey,2023,710,3.42,7
Jordan,2019,845,3.67,2
Jordan,2020,855,3.78,3
Jordan,2021,883,3.39,6
Jordan,2022,828,3.81,8
Jordan,2023,869,3.31,4
Japan,2019,648,3.64,10
Japan,2020,645,3.76,5
Japan,2021,557,3.5,3
Japan,2022,644,3.67,6
Japan,2023,716,3.67,4
Kazakhstan,2019,181,2.87,6
Kazakhstan,2020,172,2.56,5
Kazakhstan,2021,20,2.88,5
Kazakhstan,2022,114,2.77,4
Kazakhstan,2023,183,2.41,8
Kenya,2019,946,3.69,3
Kenya,2020,821,4.19,3
Kenya,2021,790,3.88,3
Kenya,2022,767,4.1,6
Kenya,2023,885,3.98,3
Kyrgyzstan,2019,228,4.6,2
Kyrgyzstan,2020,96,4.23,5
Kyrgyzstan,2021,79,4.44,6
Kyrgyzstan,2022,157,4.16,6
Kyrgyzstan,2023,240,4.12,5
Cambodia,2019,1049,4,8
Cambodia,2020,1006,4.14,7
Cambodia,2021,866,3.77,8
Cambodia,2022,975,4.17,3
Cambodia,2023,1029,3.64,6
Kiribati,2019,860,4.36,6
Kiribati,2020,861,4.13,4
Kiribati,2021,700,3.86,3
Kiribati,2022,820,3.92,3
Kiribati,2023,819,4,3
Saint Kitts and Nevis,2019,255,2.47,7
Saint Kitts and Nevis,2020,353,2.44,3
Saint Kitts and Nevis,2021,353,2.53,7
Saint Kitts and Nevis,2022,277,2.15,8
Saint Kitts and Nevis,2023,363,2.16,5
"Korea, Republic of",2019,165,2.54,0
"Korea, Republic of",2020,29,2.34,8
"Korea, Republic of",2021,177,2.46,6
"Korea, Republic of",2022,83,2.66,7
"Korea, Republic of",2023,161,2.51,8
Kuwait,2019,289,4.01,2
Kuwait,2020,269,4.27,5
Kuwait,2021,195,4.09,2
Kuwait,2022,325,4.24,7
Kuwait,2023,301,3.94,10
Lao People's Democratic Republic,2019,205,2.52,6
Lao People's Democratic Republic,2020,270,2.78,1
Lao People's Democratic Republic,2021,261,2.35,10
Lao People's Democratic Republic,2022,282,2.8,5
Lao People's Democratic Republic,2023,286,2.38,7
Lebanon,2019,203,2.65,3
Lebanon,2020,161,2.68,3
Lebanon,2021,60,2.44,10
Lebanon,2022,108,2.65,8
Lebanon,2023,162,2.92,7
Liberia,2019,647,3.32,10
Liberia,2020,635,3.38,4
Liberia,2021,679,3.02,6
Liberia,2022,668,3.22,6
Liberia,2023,659,3.26,7
Libya,2019,804,2.98,6
Libya,2020,643,3.24,5
Libya,2021,656,3.39,2
Libya,2022,779,3.36,8
Libya,2023,790,3.29,5
Saint Lucia,2019,802,2.3,2
Saint Lucia,2020,839,2.24,4
Saint Lucia,2021,811,2.38,3
Saint Lucia,2022,770,2.67,8
Saint Lucia,2023,704,2.51,2
Liechtenstein,2019,1055,2.17,8
Liechtenstein,2020,887,2.22,4
Liechtenstein,2021,1052,1.85,6
Liechtenstein,2022,963,1.97,6
Liechtenstein,2023,1004,2.32,5
Sri Lanka,2019,525,4.01,7
Sri Lanka,2020,442,3.73,7
Sri Lanka,2021,481,3.95,4
Sri Lanka,2022,405,4.23,2
Sri Lanka,2023,382,4.07,6
Lesotho,2019,156,3.42,7
Lesotho,2020,122,3.28,4
Lesotho,2021,26,3.26,7
Lesotho,2022,74,3.12,6
Lesotho,2023,37,3.45,5
Lithuania,2019,291,2.62,6
Lithuania,2020,242,2.94,7
Lithuania,2021,278,2.83,4
Lithuania,2022,353,2.93,3
Lithuania,2023,222,2.7,11
Luxembourg,2019,253,3.82,5
Luxembourg,2020,207,3.75,2
Luxembourg,2021,312,3.82,4
Luxembourg,2022,198,3.64,2
Luxembourg,2023,315,4.01,3
Latvia,2019,794,3.14,6
Latvia,2020,701,2.94,5
Latvia,2021,600,3.08,5
Latvia,2022,768,3.11,3
Latvia,2023,629,3.31,9
Macao,2019,406,3.63,10
Macao,2020,392,4.12,4
Macao,2021,360,4.07,5
Macao,2022,482,4.16,4
Macao,2023,365,3.8,2
Saint Martin (French part),2019,131,3.82,7
Saint Martin (French part),2020,102,3.89,6
Saint Martin (French part),2021,163,3.7,3
Saint Martin (French part),2022,268,3.7,9
Saint Martin (French part),2023,203,3.75,7
Morocco,2019,567,3.16,3
Morocco,2020,521,2.98,4
Morocco,2021,537,3.02,2
Morocco,2022,565,3.3,8
Morocco,2023,615,3.2,5
Monaco,2019,166,1.95,3
Monaco,2020,181,2.09,7
Monaco,2021,213,2.02,5
Monaco,2022,163,2.25,2
Monaco,2023,262,2.05,2
"Moldova, Republic of",2019,422,2.72,3
"Moldova, Republic of",2020,473,2.88,1
"Moldova, Republic of",2021,462,2.67,5
"Moldova, Republic of",2022,388,2.98,5
"Moldova, Republic of",2023,540,2.85,3
Madagascar,2019,797,3.03,4
Madagascar,2020,811,2.88,5
Madagascar,2021,826,3.25,7
Madagascar,2022,802,3.34,5
Madagascar,2023,753,3.22,4
Maldives,2019,927,2.16,2
Maldives,2020,910,2.4,3
Maldives,2021,875,2.07,6
Maldives,2022,818,2.31,4
Maldives,2023,738,2.42,7
Mexico,2019,629,3.49,2
Mexico,2020,598,3.28,3
Mexico,2021,698,3.13,7
Mexico,2022,651,3.14,4
Mexico,2023,625,3.07,2
Marshall Islands,2019,303,2.38,2
Marshall Islands,2020,425,2.38,7
Marshall Islands,2021,401,2.27,4
Marshall Islands,2022,382,2.37,5
Marshall Islands,2023,297,2.1,3
North Macedonia,2019,762,2.88,5
North Macedonia,2020,647,3.01,8
North Macedonia,2021,740,2.69,5
North Macedonia,2022,781,2.98,8
North Macedonia,2023,617,3.11,3
Mali,2019,847,2.26,2
Mali,2020,802,2.34,3
Mali,2021,915,1.96,1
Mali,2022,815,1.91,6
Mali,2023,861,1.96,3
Malta,2019,382,2.86,7
Malta,2020,495,2.96,4
Malta,2021,481,3.27,6
Malta,2022,479,2.97,2
Malta,2023,524,3.29,11
Myanmar,2019,420,2.77,7
Myanmar,2020,393,2.8,5
Myanmar,2021,340,2.64,6
Myanmar,2022,391,2.6,6
Myanmar,2023,425,2.46,10
Montenegro,2019,804,2.85,4
Montenegro,2020,826,3.23,5
Montenegro,2021,907,3.23,4
Montenegro,2022,856,2.75,6
Montenegro,2023,761,3.09,5
Mongolia,2019,714,2.59,6
Mongolia,2020,728,2.6,7
Mongolia,2021,779,2.84,8
Mongolia,2022,790,3.01,4
Mongolia,2023,741,3.02,5
Northern Mariana Islands,2019,600,3.28,6
Northern Mariana Islands,2020,502,3.71,1
Northern Mariana Islands,2021,587,3.5,6
Northern Mariana Islands,2022,632,3.52,6
Northern Mariana Islands,2023,495,3.58,5
Mozambique,2019,522,3.75,4
Mozambique,2020,576,3.63,7
Mozambique,2021,513,3.89,4
Mozambique,2022,493,4.01,7
Mozambique,2023,423,3.92,2
Mauritania,2019,988,3.92,2
Mauritania,2020,967,4.02,6
Mauritania,2021,1070,3.53,4
Mauritania,2022,973,3.97,10
Mauritania,2023,881,3.85,5
Montserrat,2019,749,4.26,7
Montserrat,2020,775,4.28,3
Montserrat,2021,765,4.25,6
Montserrat,2022,807,3.82,1
Montserrat,2023,858,4.31,7
Martinique,2019,557,3.09,5
Martinique,2020,648,3.13,4
Martinique,2021,731,3.12,4
Martinique,2022,604,3.17,14
Martinique,2023,676,2.96,7
Mauritius,2019,203,4.49,8
Mauritius,2020,235,4.38,4
Mauritius,2021,355,4.75,5
Mauritius,2022,350,4.4,5
Mauritius,2023,349,4.42,5
Malawi,2019,1029,3.75,3
Malawi,2020,1039,3.59,7
Malawi,2021,861,3.6,7
Malawi,2022,1008,3.69,8
Malawi,2023,933,3.42,5
Malaysia,2019,795,3.69,1
Malaysia,2020,825,3.91,7
Malaysia,2021,758,3.73,3
Malaysia,2022,720,3.76,5
Malaysia,2023,749,3.76,6
Mayotte,2019,553,3.55,6
Mayotte,2020,515,3.72,3
Mayotte,2021,595,3.62,9
